,freq_center,freq_center_err,E,D,detect_red_first,data_indices,start_time,end_time
191,139522.59930953948,15.729381244875592,False,False,True,"[862233, 862234, 862235, 862236]",1720499606.0525265,1720499613.721727
192,139408.06305110073,15.419773740187894,True,False,True,"[862237, 862238, 862239, 862240]",1720499613.7271602,1720499621.395803
193,139427.60348466874,15.592900864745292,True,True,True,"[862237, 862238, 862239, 862240]",1720499613.7271602,1720499621.395803
194,139496.1035251598,13.995212475828817,False,True,True,"[862241, 862242, 862243, 862244]",1720499621.401008,1720499629.086238
195,139488.4712745335,13.840388991753684,False,False,True,"[862241, 862242, 862243, 862244]",1720499621.401008,1720499629.086238
196,139553.43535322824,18.480305239375593,True,False,True,"[862245, 862246, 862247, 862248]",1720499629.091537,1720499636.764227
197,139562.62945656892,18.151356861730157,True,True,True,"[862245, 862246, 862247, 862248]",1720499629.091537,1720499636.764227
198,139473.4837973064,16.31539625546263,False,True,True,"[862249, 862250, 862251, 862252]",1720499636.7694073,1720499644.46869
199,139450.1239761846,15.672411516034469,False,False,True,"[862249, 862250, 862251, 862252]",1720499636.7694073,1720499644.46869
200,139423.8260476841,15.305841921646126,True,False,True,"[862253, 862254, 862255, 862256]",1720499644.474981,1720499652.149368
201,139412.8187704577,15.113899513943373,True,True,True,"[862253, 862254, 862255, 862256]",1720499644.474981,1720499652.149368
202,139465.47774838557,17.635673413843303,False,True,True,"[862257, 862258, 862259, 862260]",1720499652.1911814,1720499659.847251
203,139462.42154196725,17.403789599276458,False,False,True,"[862257, 862258, 862259, 862260]",1720499652.1911814,1720499659.847251
204,139364.90627095755,22.603882150144223,True,False,True,"[862261, 862262, 862263, 862264]",1720499659.8525286,1720499667.522882
205,139386.5449868557,21.857497214239608,True,True,True,"[862261, 862262, 862263, 862264]",1720499659.8525286,1720499667.522882
206,139532.11255920312,15.170180419535884,False,True,True,"[862265, 862266, 862267, 862268]",1720499667.5281124,1720499675.231095
207,139486.2126250627,15.162857715350125,False,False,True,"[862265, 862266, 862267, 862268]",1720499667.5281124,1720499675.231095
208,139401.77371190788,14.725704754960157,True,False,True,"[862269, 862270, 862271, 862272]",1720499675.236346,1720499682.972843
209,139395.14579377352,14.532591704134258,True,True,True,"[862269, 862270, 862271, 862272]",1720499675.236346,1720499682.972843
210,139543.7298764412,18.69878086022719,False,True,True,"[862273, 862274, 862275, 862276]",1720499682.9780593,1720499690.654053
211,139543.4259246595,18.102449016422337,False,False,True,"[862273, 862274, 862275, 862276]",1720499682.9780593,1720499690.654053
212,139376.900213436,18.629117473262806,True,False,True,"[862277, 862278, 862279, 862280]",1720499690.6593647,1720499698.363891
213,139368.40967607422,18.311645818124603,True,True,True,"[862277, 862278, 862279, 862280]",1720499690.6593647,1720499698.363891
214,139509.0658572956,15.4760652796495,False,True,True,"[862281, 862282, 862283, 862284]",1720499698.3691328,1720499706.046326
215,139534.19221372087,15.152460463965669,False,False,True,"[862281, 862282, 862283, 862284]",1720499698.3691328,1720499706.046326
216,139426.53232081086,12.996046675775897,True,False,True,"[862285, 862286, 862287, 862288]",1720499706.0843859,1720499713.787422
217,139473.19656258947,12.896695965168615,True,True,True,"[862285, 862286, 862287, 862288]",1720499706.0843859,1720499713.787422
218,139265.8203811052,20.164393548033075,False,True,True,"[862289, 862290, 862291, 862292]",1720499713.7925706,1720499721.437908
219,139260.7240370049,19.88632283202445,False,False,True,"[862289, 862290, 862291, 862292]",1720499713.7925706,1720499721.437908
220,139593.1352785476,18.14636188018722,True,False,True,"[862293, 862294, 862295, 862296]",1720499721.4433932,1720499729.116672
221,139613.36596824488,18.012061271238327,True,True,True,"[862293, 862294, 862295, 862296]",1720499721.4433932,1720499729.116672
222,139453.99737127838,18.112637920369863,False,True,True,"[862297, 862298, 862299, 862300]",1720499729.121922,1720499736.835971
223,139452.34657543915,17.426123443765132,False,False,True,"[862297, 862298, 862299, 862300]",1720499729.121922,1720499736.835971
224,139520.55475195107,15.227127198827942,True,False,True,"[862301, 862302, 862303, 862304]",1720499736.875166,1720499744.54616
225,139491.97733338215,14.63082425420179,True,True,True,"[862301, 862302, 862303, 862304]",1720499736.875166,1720499744.54616
226,139521.71584920367,17.291487226986085,False,True,True,"[862305, 862306, 862307, 862308]",1720499744.5512502,1720499752.260072
227,139540.82196737741,17.540009431404044,False,False,True,"[862305, 862306, 862307, 862308]",1720499744.5512502,1720499752.260072
228,139479.44388610678,18.050677148165942,True,False,True,"[862309, 862310, 862311, 862312]",1720499752.265477,1720499759.965454
